	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.258689	1.243845	1.225027	1.197087	1.151754	1.182142	1.138208	1.127994	1.265636	1.339209	1.310216	1.302852	1.220002	1.106309	1.035535	0.952650	1.271996	1.409004	1.572278	1.479925	1.230489	1.119219	1.125855	1.304065	1.308910
1	-0.164100	0.119692	0.397836	0.513901	0.240609	-0.007522	-0.234318	-0.258132	0.298059	0.053940	-0.175944	-0.235722	-0.175409	-0.518521	-0.784048	-0.860187	-0.149473	-0.473461	-0.794025	-0.828935	0.329085	-0.299489	-0.263680	-0.283146	-0.242965
2	3.166698	3.177237	3.176731	3.177116	3.205483	3.326560	3.343254	3.353027	2.991503	2.915272	2.881964	2.920639	3.181004	3.184350	3.171697	3.129064	3.088482	3.091102	3.140613	3.071480	3.178913	3.348899	3.317334	2.930459	2.875111
3	1.258689	1.243845	1.225027	1.197087	1.151754	1.182142	1.138208	1.127994	1.265636	1.339209	1.310216	1.302852	1.220002	1.106309	1.035535	0.952650	1.271996	1.409004	1.572278	1.479925	1.230489	1.119219	1.125855	1.304065	1.308910
4	-0.164100	0.119692	0.397836	0.513901	0.240609	-0.007522	-0.234318	-0.258132	0.298059	0.053940	-0.175944	-0.235722	-0.175409	-0.518521	-0.784048	-0.860187	-0.149473	-0.473461	-0.794025	-0.828935	0.329085	-0.299489	-0.263680	-0.283146	-0.242965
5	3.166698	3.177237	3.176731	3.177116	3.205483	3.326560	3.343254	3.353027	2.991503	2.915272	2.881964	2.920639	3.181004	3.184350	3.171697	3.129064	3.088482	3.091102	3.140613	3.071480	3.178913	3.348899	3.317334	2.930459	2.875111
6	1.225654	1.215376	1.200412	1.163365	1.120444	1.129934	1.122914	1.101022	1.239062	1.305476	1.289969	1.273505	1.185837	1.089654	1.027187	0.951064	1.239374	1.384180	1.569709	1.479311	1.204970	1.092358	1.091393	1.265347	1.236126
7	-0.165297	0.119829	0.399111	0.514084	0.238275	-0.014806	-0.218130	-0.233679	0.298445	0.063919	-0.143588	-0.218774	-0.177236	-0.516531	-0.785328	-0.860881	-0.150051	-0.481144	-0.792270	-0.826141	0.330093	-0.267778	-0.246167	-0.293013	-0.225095
8	3.165673	3.173206	3.169971	3.176799	3.201051	3.311288	3.344326	3.354699	2.988870	2.913814	2.886488	2.912009	3.186227	3.181063	3.168440	3.128012	3.080917	3.088452	3.140099	3.070187	3.172820	3.349454	3.323500	2.932229	2.871871
9	1.175256	1.163965	1.149009	1.118756	1.072049	1.091869	1.061532	1.065380	1.187641	1.258715	1.238745	1.226584	1.136167	1.053812	1.012193	0.929631	1.191357	1.326265	1.549736	1.551437	1.153484	1.056793	1.055930	1.219580	1.228961
