	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	-0.053116	-0.071454	-0.088777	-0.019816	-0.187355	-0.213635	-0.242895	-0.254299	0.095972	0.135270	0.167368	0.133007	-0.117077	-0.202470	-0.272295	-0.242852	0.012580	0.103049	0.174687	0.197212	-0.084601	-0.256850	-0.274920	0.101617	0.103899
1	-0.191071	0.158530	0.496401	0.591648	0.313845	0.065377	-0.137686	-0.193761	0.332337	0.105787	-0.127216	-0.157029	-0.192234	-0.506673	-0.821592	-0.849613	-0.183525	-0.493584	-0.803037	-0.829594	0.413572	-0.259973	-0.199814	-0.208903	-0.115631
2	2.463733	2.444937	2.411234	2.463968	2.360475	2.318927	2.311643	2.335704	2.448483	2.526923	2.437780	2.404018	2.402945	2.511421	2.612445	2.493829	2.442160	2.372800	2.252675	2.134454	2.422240	2.336809	2.303778	2.397485	2.341368
3	-0.075521	-0.091833	-0.107161	-0.055511	-0.204868	-0.239467	-0.270482	-0.280383	0.075268	0.100712	0.126190	0.111941	-0.139081	-0.218206	-0.273729	-0.242417	-0.009511	0.068054	0.170050	0.194517	-0.103488	-0.276880	-0.301162	0.136664	0.092352
4	-0.189520	0.159308	0.496642	0.603023	0.310674	0.061377	-0.177400	-0.229507	0.331446	0.105554	-0.125555	-0.141002	-0.191332	-0.510944	-0.823076	-0.851796	-0.181461	-0.479805	-0.796612	-0.824001	0.413923	-0.291081	-0.209098	-0.188650	-0.154337
5	2.489007	2.466409	2.429294	2.501946	2.380269	2.344726	2.360389	2.376282	2.473530	2.561176	2.460000	2.434601	2.429374	2.532782	2.615654	2.497055	2.466416	2.405850	2.258756	2.140497	2.441119	2.378304	2.342364	2.428017	2.386667
6	-0.075521	-0.091833	-0.107161	-0.055511	-0.204868	-0.239467	-0.270482	-0.280383	0.075268	0.100712	0.126190	0.111941	-0.139081	-0.218206	-0.273729	-0.242417	-0.009511	0.068054	0.170050	0.194517	-0.103488	-0.276880	-0.301162	0.136664	0.092352
7	-0.189520	0.159308	0.496642	0.603023	0.310674	0.061377	-0.177400	-0.229507	0.331446	0.105554	-0.125555	-0.141002	-0.191332	-0.510944	-0.823076	-0.851796	-0.181461	-0.479805	-0.796612	-0.824001	0.413923	-0.291081	-0.209098	-0.188650	-0.154337
8	2.489007	2.466409	2.429294	2.501946	2.380269	2.344726	2.360389	2.376282	2.473530	2.561176	2.460000	2.434601	2.429374	2.532782	2.615654	2.497055	2.466416	2.405850	2.258756	2.140497	2.441119	2.378304	2.342364	2.428017	2.386667
9	-0.108234	-0.126140	-0.143621	-0.084060	-0.243512	-0.271287	-0.299130	-0.311423	0.007105	0.062510	0.092083	0.079702	-0.171126	-0.247151	-0.285610	-0.260698	-0.042095	0.043703	0.163770	0.159400	-0.139367	-0.315032	-0.331422	0.078643	0.059479
10	-0.189341	0.151769	0.481630	0.580995	0.301825	0.054678	-0.163816	-0.219601	0.337166	0.121873	-0.106409	-0.159953	-0.195350	-0.509016	-0.820675	-0.847575	-0.177097	-0.479332	-0.796437	-0.858667	0.400766	-0.287429	-0.208289	-0.195213	-0.144279
11	2.522761	2.496763	2.456879	2.501589	2.414602	2.377140	2.380428	2.406169	2.481220	2.573039	2.473071	2.466031	2.461965	2.562710	2.632079	2.516991	2.502213	2.432072	2.267528	2.232440	2.469353	2.407743	2.371583	2.461502	2.416934
12	-0.145589	-0.164269	-0.180719	-0.129711	-0.275239	-0.304783	-0.342299	-0.346673	-0.019961	0.035254	0.063455	0.038645	-0.205508	-0.264805	-0.292430	-0.339250	-0.080981	-0.025499	0.138039	0.155891	-0.176918	-0.354296	-0.361414	0.038274	0.007356
13	-0.186493	0.150875	0.477569	0.584133	0.310391	0.059827	-0.163499	-0.215865	0.340302	0.122067	-0.115176	-0.160013	-0.190973	-0.501442	-0.816889	-0.870026	-0.176130	-0.451433	-0.774595	-0.799724	0.397387	-0.280411	-0.195873	-0.211231	-0.150802
14	2.553535	2.528224	2.487821	2.540533	2.440979	2.406359	2.418551	2.440985	2.508145	2.602198	2.517046	2.494542	2.493936	2.579898	2.636672	2.640717	2.531935	2.503629	2.303316	2.190467	2.500525	2.444884	2.405773	2.498577	2.436900
15	-0.145589	-0.164269	-0.180719	-0.129711	-0.275239	-0.304783	-0.342299	-0.346673	-0.019961	0.035254	0.063455	0.038645	-0.205508	-0.264805	-0.292430	-0.339250	-0.080981	-0.025499	0.138039	0.155891	-0.176918	-0.354296	-0.361414	0.038274	0.007356
16	-0.186493	0.150875	0.477569	0.584133	0.310391	0.059827	-0.163499	-0.215865	0.340302	0.122067	-0.115176	-0.160013	-0.190973	-0.501442	-0.816889	-0.870026	-0.176130	-0.451433	-0.774595	-0.799724	0.397387	-0.280411	-0.195873	-0.211231	-0.150802
17	2.553535	2.528224	2.487821	2.540533	2.440979	2.406359	2.418551	2.440985	2.508145	2.602198	2.517046	2.494542	2.493936	2.579898	2.636672	2.640717	2.531935	2.503629	2.303316	2.190467	2.500525	2.444884	2.405773	2.498577	2.436900
18	-0.177493	-0.192817	-0.209619	-0.127513	-0.300698	-0.337325	-0.369395	-0.374257	-0.042764	0.003387	0.028692	0.015354	-0.233472	-0.282595	-0.294927	-0.333364	-0.116313	-0.067979	0.116658	0.122461	-0.205432	-0.383709	-0.400366	0.027188	0.000176
19	-0.187443	0.160511	0.498479	0.579167	0.305717	0.053145	-0.151122	-0.210306	0.342545	0.118265	-0.123648	-0.163200	-0.193058	-0.496680	-0.815999	-0.874851	-0.175768	-0.466322	-0.774506	-0.839497	0.415261	-0.282552	-0.203635	-0.205696	-0.148583
20	2.579821	2.548904	2.505702	2.552382	2.462114	2.431297	2.444572	2.474443	2.547239	2.639985	2.559535	2.531976	2.516288	2.597359	2.640509	2.645672	2.562551	2.550190	2.328781	2.284992	2.518913	2.481211	2.438637	2.528206	2.492421
21	-0.206435	-0.216304	-0.224438	-0.171330	-0.326167	-0.365518	-0.407374	-0.403104	-0.069087	-0.022532	-0.017947	-0.027445	-0.264108	-0.301167	-0.297275	-0.266408	-0.142107	-0.121087	0.075707	0.092346	-0.222714	-0.399139	-0.438645	-0.033180	-0.043442
22	-0.177496	0.181508	0.530210	0.543045	0.308427	0.054259	-0.150390	-0.209240	0.342632	0.118017	-0.123739	-0.162257	-0.182507	-0.510738	-0.819240	-0.849491	-0.166987	-0.448969	-0.754944	-0.833008	0.444525	-0.287137	-0.209802	-0.196320	-0.147180
