	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	-0.060928	-0.067642	-0.074091	-0.082247	-0.230833	-0.279895	-0.291150	-0.290081	0.085055	0.132824	0.149489	0.123590	-0.132066	-0.126878	-0.127287	-0.124695	0.011133	0.021808	-0.114621	-0.083836	-0.072524	-0.291719	-0.247776	0.125270	0.129132
1	-0.126492	0.144068	0.410557	0.532983	0.308106	0.053802	-0.163710	-0.215373	0.318738	0.065182	-0.152821	-0.213708	-0.127940	-0.466821	-0.804309	-0.879395	-0.123133	-0.432267	-0.848588	-0.926802	0.344510	-0.290267	-0.203861	-0.262087	-0.253270
2	4.356500	4.349011	4.330496	4.295860	4.325333	4.348457	4.305933	4.299499	4.309757	4.317257	4.280639	4.266673	4.327471	4.257369	4.250296	4.164062	4.319697	4.292583	4.238514	4.169468	4.337222	4.288823	4.256001	4.225766	4.192000
3	-0.072802	-0.077154	-0.081705	-0.082991	-0.237806	-0.289140	-0.305781	-0.294496	0.078749	0.127771	0.143683	0.122488	-0.144546	-0.126018	-0.127084	-0.124720	0.000025	0.004902	0.027606	0.020187	-0.080576	-0.300814	-0.253967	0.137018	0.150765
4	-0.136582	0.139111	0.409968	0.532660	0.304023	0.067946	-0.144953	-0.217613	0.325020	0.070808	-0.138829	-0.200857	-0.141279	-0.467740	-0.804363	-0.879750	-0.130187	-0.397098	-0.641272	-0.685453	0.342883	-0.287791	-0.240618	-0.253753	-0.188912
5	4.334192	4.328092	4.310187	4.274678	4.304849	4.314718	4.268155	4.258838	4.284097	4.301102	4.238415	4.222402	4.301584	4.252719	4.250220	4.163656	4.300067	4.234396	4.379137	4.242982	4.316847	4.252260	4.225800	4.199790	4.186714
6	-0.072802	-0.077154	-0.081705	-0.082991	-0.237806	-0.289140	-0.305781	-0.294496	0.078749	0.127771	0.143683	0.122488	-0.144546	-0.126018	-0.127084	-0.124720	0.000025	0.004902	0.027606	0.020187	-0.080576	-0.300814	-0.253967	0.137018	0.150765
7	-0.136582	0.139111	0.409968	0.532660	0.304023	0.067946	-0.144953	-0.217613	0.325020	0.070808	-0.138829	-0.200857	-0.141279	-0.467740	-0.804363	-0.879750	-0.130187	-0.397098	-0.641272	-0.685453	0.342883	-0.287791	-0.240618	-0.253753	-0.188912
8	4.334192	4.328092	4.310187	4.274678	4.304849	4.314718	4.268155	4.258838	4.284097	4.301102	4.238415	4.222402	4.301584	4.252719	4.250220	4.163656	4.300067	4.234396	4.379137	4.242982	4.316847	4.252260	4.225800	4.199790	4.186714
9	-0.085551	-0.087655	-0.089299	-0.093394	-0.247059	-0.294129	-0.312781	-0.300250	0.075463	0.122952	0.128344	0.104068	-0.155632	-0.124294	-0.126621	-0.125720	-0.014160	-0.024561	0.023433	0.015426	-0.088958	-0.309952	-0.250500	0.101292	0.139244
10	-0.142307	0.137207	0.412735	0.543343	0.308538	0.063393	-0.146579	-0.212038	0.321814	0.073710	-0.139166	-0.208147	-0.143955	-0.471205	-0.803279	-0.879118	-0.138909	-0.423325	-0.747362	-0.791936	0.344424	-0.285499	-0.237916	-0.280785	-0.213330
11	4.301836	4.290855	4.268221	4.230405	4.275226	4.281980	4.227139	4.222610	4.251629	4.258558	4.201606	4.176940	4.274378	4.234509	4.249882	4.162254	4.262064	4.183912	4.434570	4.297516	4.276050	4.218517	4.200714	4.147213	4.131454
12	-0.098113	-0.093772	-0.088534	-0.104263	-0.248998	-0.300157	-0.308722	-0.304045	0.069337	0.118490	0.115348	0.093276	-0.170039	-0.131184	-0.125951	-0.126131	-0.024752	-0.021975	0.034737	0.031147	-0.089983	-0.311502	-0.249229	0.107297	0.119447
13	-0.135453	0.142883	0.416897	0.545642	0.300271	0.063465	-0.145400	-0.213095	0.318712	0.076257	-0.147376	-0.211150	-0.137941	-0.478638	-0.804016	-0.880662	-0.131082	-0.406371	-0.777011	-0.822408	0.349021	-0.292136	-0.215554	-0.269369	-0.219074
14	4.271594	4.254980	4.225391	4.196447	4.230817	4.245657	4.190684	4.176426	4.221006	4.234286	4.150566	4.126943	4.240567	4.213202	4.248741	4.160994	4.235364	4.129336	4.332920	4.195236	4.235078	4.162959	4.165625	4.088575	4.085637
15	-0.102474	-0.098970	-0.094387	-0.104121	-0.251833	-0.301009	-0.312289	-0.306596	0.064475	0.110363	0.112265	0.089369	-0.173965	-0.136659	-0.125732	-0.126181	-0.029342	-0.025616	-0.009264	0.058868	-0.095684	-0.319099	-0.255676	0.084756	0.120951
16	-0.132476	0.144341	0.417125	0.543156	0.309210	0.071205	-0.136362	-0.209349	0.329151	0.085414	-0.135904	-0.194848	-0.135547	-0.475383	-0.805328	-0.880336	-0.127362	-0.460681	-0.813294	-0.886230	0.349513	-0.280283	-0.202401	-0.266888	-0.207844
17	4.232867	4.225544	4.205855	4.171193	4.206796	4.210997	4.150729	4.136123	4.188405	4.198112	4.128441	4.097160	4.200865	4.190393	4.246613	4.161352	4.197865	4.101958	4.243101	4.179688	4.213108	4.114049	4.140850	4.079001	4.058200
18	-0.102474	-0.098970	-0.094387	-0.104121	-0.251833	-0.301009	-0.312289	-0.306596	0.064475	0.110363	0.112265	0.089369	-0.173965	-0.136659	-0.125732	-0.126181	-0.029342	-0.025616	-0.009264	0.058868	-0.095684	-0.319099	-0.255676	0.084756	0.120951
19	-0.132476	0.144341	0.417125	0.543156	0.309210	0.071205	-0.136362	-0.209349	0.329151	0.085414	-0.135904	-0.194848	-0.135547	-0.475383	-0.805328	-0.880336	-0.127362	-0.460681	-0.813294	-0.886230	0.349513	-0.280283	-0.202401	-0.266888	-0.207844
20	4.232867	4.225544	4.205855	4.171193	4.206796	4.210997	4.150729	4.136123	4.188405	4.198112	4.128441	4.097160	4.200865	4.190393	4.246613	4.161352	4.197865	4.101958	4.243101	4.179688	4.213108	4.114049	4.140850	4.079001	4.058200
21	-0.108656	-0.104425	-0.099479	-0.106674	-0.256429	-0.301157	-0.315772	-0.307790	0.057929	0.105014	0.103327	0.077629	-0.179558	-0.144232	-0.117472	-0.118640	-0.036053	-0.035317	-0.022360	-0.028849	-0.100809	-0.312207	-0.260217	0.057990	0.107148
22	-0.134532	0.141233	0.412583	0.542569	0.306836	0.073850	-0.129678	-0.204745	0.323572	0.085440	-0.130161	-0.203299	-0.137193	-0.473564	-0.812630	-0.889573	-0.129783	-0.456218	-0.792775	-0.833787	0.345359	-0.277269	-0.197949	-0.294585	-0.234069
23	4.208417	4.194662	4.169403	4.129944	4.173245	4.176238	4.111073	4.092255	4.152495	4.170980	4.080887	4.061776	4.179566	4.178705	4.229373	4.155902	4.169936	4.056796	4.141522	4.011070	4.177791	4.053610	4.114333	4.026240	4.035778
24	-0.113120	-0.106844	-0.099964	-0.106559	-0.260090	-0.306454	-0.317487	-0.319013	0.054342	0.100577	0.097396	0.072980	-0.184327	-0.152099	-0.117748	-0.099609	-0.040101	-0.038626	-0.026240	0.003430	-0.101758	-0.306842	-0.287382	0.059101	0.105145
25	-0.132422	0.143910	0.415891	0.544019	0.309340	0.076623	-0.128227	-0.196999	0.318385	0.081492	-0.133464	-0.185965	-0.133394	-0.478250	-0.809783	-0.886719	-0.129250	-0.458328	-0.798336	-0.870982	0.348507	-0.274526	-0.209161	-0.271676	-0.183732
26	4.182948	4.165063	4.135530	4.104808	4.143372	4.133613	4.078161	4.042994	4.124228	4.123716	4.054452	4.031340	4.152736	4.166505	4.226635	4.113281	4.146089	4.004260	4.039917	3.970882	4.145128	4.002875	4.042875	4.001842	4.004700
27	-0.121100	-0.108242	-0.096207	-0.101144	-0.258768	-0.307329	-0.318280	-0.318837	0.053513	0.097558	0.091240	0.068675	-0.192035	-0.158221	-0.118841	-0.104969	-0.048204	-0.039068	-0.028199	-0.007119	-0.099176	-0.313790	-0.276763	0.053682	0.092464
28	-0.137693	0.140298	0.413590	0.541095	0.309120	0.074710	-0.126269	-0.200073	0.314347	0.081617	-0.145714	-0.196247	-0.137668	-0.489582	-0.810579	-0.880853	-0.135509	-0.453889	-0.810301	-0.875950	0.345912	-0.270856	-0.183790	-0.291071	-0.224507
29	4.141401	4.129734	4.105695	4.071418	4.097991	4.114709	4.035983	4.004321	4.085261	4.107222	4.012782	3.993697	4.112265	4.156400	4.222081	4.116518	4.103418	3.973458	3.944188	3.862054	4.113920	3.975715	4.056858	3.978247	3.970417
30	-0.121100	-0.108242	-0.096207	-0.101144	-0.258768	-0.307329	-0.318280	-0.318837	0.053513	0.097558	0.091240	0.068675	-0.192035	-0.158221	-0.118841	-0.104969	-0.048204	-0.039068	-0.028199	-0.007119	-0.099176	-0.313790	-0.276763	0.053682	0.092464
31	-0.137693	0.140298	0.413590	0.541095	0.309120	0.074710	-0.126269	-0.200073	0.314347	0.081617	-0.145714	-0.196247	-0.137668	-0.489582	-0.810579	-0.880853	-0.135509	-0.453889	-0.810301	-0.875950	0.345912	-0.270856	-0.183790	-0.291071	-0.224507
32	4.141401	4.129734	4.105695	4.071418	4.097991	4.114709	4.035983	4.004321	4.085261	4.107222	4.012782	3.993697	4.112265	4.156400	4.222081	4.116518	4.103418	3.973458	3.944188	3.862054	4.113920	3.975715	4.056858	3.978247	3.970417
33	-0.117105	-0.106457	-0.096358	-0.106565	-0.260058	-0.310602	-0.315936	-0.319412	0.051076	0.098223	0.095702	0.070496	-0.187858	-0.160626	-0.120825	-0.116266	-0.044440	-0.039249	-0.026727	-0.014870	-0.098875	-0.310467	-0.290058	0.068903	0.104335
34	-0.142585	0.135422	0.409132	0.538057	0.303680	0.071559	-0.134562	-0.209399	0.311302	0.080316	-0.133748	-0.186199	-0.143371	-0.499312	-0.815242	-0.879700	-0.139535	-0.454233	-0.787319	-0.855957	0.341321	-0.276934	-0.213979	-0.268697	-0.185091
35	4.116643	4.097771	4.067228	4.046998	4.069539	4.063915	4.003314	3.955192	4.055790	4.069819	3.995632	3.968680	4.085211	4.146053	4.216642	4.129931	4.080853	3.924972	3.854367	3.750000	4.077017	3.933719	3.939334	3.950924	3.940084
36	-0.121478	-0.112282	-0.102951	-0.111561	-0.264597	-0.310152	-0.314884	-0.317331	0.047470	0.095490	0.095741	0.070069	-0.191450	-0.172971	-0.121447	-0.121160	-0.049542	-0.036058	-0.030257	-0.013161	-0.105321	-0.308464	-0.288372	0.057755	0.101684
37	-0.146728	0.129868	0.402112	0.530637	0.301807	0.070560	-0.140304	-0.218815	0.303431	0.071004	-0.152204	-0.204162	-0.144959	-0.415035	-0.805803	-0.879596	-0.146193	-0.462194	-0.817513	-0.859863	0.334674	-0.285821	-0.236723	-0.297498	-0.213854
38	4.082567	4.065034	4.036307	4.003570	4.039947	4.044348	3.967179	3.917230	4.022738	4.028450	3.945509	3.932653	4.051991	4.079070	4.208529	4.131824	4.045920	3.892221	3.756620	3.634766	4.045633	3.908381	3.906625	3.910448	3.907667
39	-0.125787	-0.112457	-0.098987	-0.112740	-0.266199	-0.309670	-0.314179	-0.316733	0.046589	0.093658	0.094215	0.072329	-0.195597	-0.163469	-0.121586	-0.124880	-0.053872	-0.032287	-0.032785	-0.023874	-0.102404	-0.303393	-0.286463	0.057288	0.100365
40	-0.148872	0.129480	0.403328	0.528577	0.298004	0.056284	-0.145844	-0.222052	0.305057	0.064358	-0.155879	-0.208737	-0.146690	-0.505089	-0.798427	-0.880349	-0.148630	-0.455184	-0.777225	-0.844071	0.335499	-0.294820	-0.228700	-0.305697	-0.230979
41	4.052809	4.035405	4.005995	3.981730	4.010922	3.998432	3.941137	3.889342	3.983902	3.984723	3.920493	3.900175	4.025197	4.101906	4.187083	4.132097	4.013201	3.861886	3.711766	3.584488	4.015543	3.873075	3.874667	3.879052	3.874187
42	-0.119838	-0.109708	-0.099225	-0.104755	-0.264396	-0.308970	-0.317197	-0.315541	0.048931	0.090663	0.095817	0.078598	-0.188403	-0.167718	-0.122923	-0.126361	-0.049194	-0.037574	-0.034398	-0.032360	-0.101906	-0.299035	-0.282814	0.067551	0.106286
43	-0.156643	0.125391	0.402594	0.521520	0.293302	0.054367	-0.144482	-0.230499	0.297206	0.044950	-0.158140	-0.213309	-0.155116	-0.504310	-0.788909	-0.879545	-0.155498	-0.452115	-0.772589	-0.843461	0.333967	-0.302154	-0.236829	-0.304203	-0.236043
44	4.010588	3.994974	3.968050	3.937886	3.968404	3.972377	3.886892	3.856696	3.953455	3.948677	3.882866	3.870149	3.976106	4.090972	4.175857	4.132228	3.977712	3.824272	3.689245	3.564222	3.976933	3.855984	3.839000	3.860068	3.849000
45	-0.123670	-0.113023	-0.102219	-0.104410	-0.261878	-0.305774	-0.318161	-0.311860	0.049883	0.093129	0.094714	0.069007	-0.192597	-0.173558	-0.133277	-0.140427	-0.052467	-0.040447	-0.037662	-0.042529	-0.104961	-0.297775	-0.280925	0.051112	0.098834
46	-0.155142	0.124102	0.398764	0.523106	0.292122	0.039791	-0.162564	-0.238768	0.301647	0.043313	-0.178993	-0.245706	-0.153278	-0.508366	-0.790905	-0.830800	-0.154479	-0.452214	-0.775585	-0.848566	0.330750	-0.299989	-0.250076	-0.339299	-0.271213
47	3.967858	3.953696	3.927931	3.917944	3.928874	3.923360	3.863554	3.826112	3.902619	3.901208	3.832270	3.816675	3.940761	4.046655	4.147839	4.019751	3.927472	3.781008	3.678462	3.553307	3.936527	3.817239	3.817273	3.789263	3.794429
48	-0.123670	-0.113023	-0.102219	-0.104410	-0.261878	-0.305774	-0.318161	-0.311860	0.049883	0.093129	0.094714	0.069007	-0.192597	-0.173558	-0.133277	-0.140427	-0.052467	-0.040447	-0.037662	-0.042529	-0.104961	-0.297775	-0.280925	0.051112	0.098834
49	-0.155142	0.124102	0.398764	0.523106	0.292122	0.039791	-0.162564	-0.238768	0.301647	0.043313	-0.178993	-0.245706	-0.153278	-0.508366	-0.790905	-0.830800	-0.154479	-0.452214	-0.775585	-0.848566	0.330750	-0.299989	-0.250076	-0.339299	-0.271213
50	3.967858	3.953696	3.927931	3.917944	3.928874	3.923360	3.863554	3.826112	3.902619	3.901208	3.832270	3.816675	3.940761	4.046655	4.147839	4.019751	3.927472	3.781008	3.678462	3.553307	3.936527	3.817239	3.817273	3.789263	3.794429
51	-0.118730	-0.111027	-0.102622	-0.098249	-0.266048	-0.304512	-0.311152	-0.311351	0.051928	0.093678	0.101415	0.079021	-0.186981	-0.168971	-0.131297	-0.137983	-0.048393	-0.044619	-0.049139	-0.046660	-0.104815	-0.292341	-0.279652	0.066104	0.106705
