	SB	SM	Nk	Hd	SL	EL	WL	HL	SR	ER	WR	HR	HiL	KL	AL	FL	HiR	KR	AR	FR	SS	HTL	TL	HTR	TR
0	1.664152	1.655595	1.643134	1.637458	1.538508	1.513396	1.481716	1.483178	1.767895	1.860807	1.838057	1.825658	1.600255	1.598952	1.629395	1.604900	1.704263	1.704609	1.862983	1.831748	1.646997	1.473157	1.459116	1.806080	1.801221
1	-0.154090	0.120884	0.392010	0.520351	0.323442	0.056482	-0.158559	-0.201679	0.287246	0.056675	-0.163083	-0.176662	-0.144760	-0.485748	-0.812239	-0.891046	-0.161219	-0.440694	-0.690631	-0.714924	0.324771	-0.255551	-0.224969	-0.208687	-0.208126
2	4.374343	4.368123	4.351390	4.306629	4.425062	4.472336	4.411952	4.393512	4.224784	4.229106	4.188538	4.193548	4.384479	4.337478	4.373898	4.314811	4.301655	4.247227	4.486890	4.339958	4.357574	4.389591	4.374000	4.172226	4.161000
3	1.664152	1.655595	1.643134	1.637458	1.538508	1.513396	1.481716	1.483178	1.767895	1.860807	1.838057	1.825658	1.600255	1.598952	1.629395	1.604900	1.704263	1.704609	1.862983	1.831748	1.646997	1.473157	1.459116	1.806080	1.801221
4	-0.154090	0.120884	0.392010	0.520351	0.323442	0.056482	-0.158559	-0.201679	0.287246	0.056675	-0.163083	-0.176662	-0.144760	-0.485748	-0.812239	-0.891046	-0.161219	-0.440694	-0.690631	-0.714924	0.324771	-0.255551	-0.224969	-0.208687	-0.208126
5	4.374343	4.368123	4.351390	4.306629	4.425062	4.472336	4.411952	4.393512	4.224784	4.229106	4.188538	4.193548	4.384479	4.337478	4.373898	4.314811	4.301655	4.247227	4.486890	4.339958	4.357574	4.389591	4.374000	4.172226	4.161000
6	1.643465	1.629319	1.610885	1.608186	1.510238	1.486051	1.464228	1.466070	1.740618	1.837194	1.798355	1.769741	1.578736	1.594984	1.627171	1.606198	1.685716	1.651829	1.813594	1.746094	1.616043	1.462981	1.440924	1.761985	1.780596
7	-0.163681	0.115965	0.391850	0.521574	0.318896	0.041030	-0.179541	-0.197164	0.301622	0.054934	-0.166815	-0.210338	-0.159184	-0.490453	-0.805341	-0.873180	-0.165888	-0.434899	-0.729254	-0.763938	0.323402	-0.253107	-0.220354	-0.275000	-0.223352
8	4.336290	4.329990	4.312822	4.266514	4.392709	4.433567	4.368187	4.356523	4.182223	4.192953	4.141897	4.153759	4.338265	4.325524	4.373755	4.321308	4.272825	4.169513	4.433743	4.343193	4.318860	4.347687	4.347778	4.148345	4.149800
9	1.623396	1.615485	1.602502	1.586052	1.488964	1.471083	1.435484	1.448865	1.721630	1.808955	1.764180	1.738297	1.560645	1.583044	1.621729	1.605876	1.661031	1.626416	1.766430	1.772509	1.606645	1.449753	1.416286	1.721845	1.749400
10	-0.160846	0.118674	0.394166	0.520624	0.329548	0.040412	-0.172735	-0.224686	0.301467	0.066622	-0.155340	-0.190781	-0.153818	-0.495063	-0.804099	-0.877621	-0.165960	-0.470221	-0.791829	-0.864613	0.325820	-0.261818	-0.225693	-0.256811	-0.200279
11	4.306779	4.307205	4.296151	4.236390	4.363775	4.414661	4.325546	4.308394	4.162001	4.161277	4.108465	4.106262	4.313978	4.311568	4.373044	4.319473	4.233819	4.122752	4.363247	4.314243	4.301131	4.297053	4.295364	4.097402	4.092600
12	1.623396	1.615485	1.602502	1.586052	1.488964	1.471083	1.435484	1.448865	1.721630	1.808955	1.764180	1.738297	1.560645	1.583044	1.621729	1.605876	1.661031	1.626416	1.766430	1.772509	1.606645	1.449753	1.416286	1.721845	1.749400
13	-0.160846	0.118674	0.394166	0.520624	0.329548	0.040412	-0.172735	-0.224686	0.301467	0.066622	-0.155340	-0.190781	-0.153818	-0.495063	-0.804099	-0.877621	-0.165960	-0.470221	-0.791829	-0.864613	0.325820	-0.261818	-0.225693	-0.256811	-0.200279
14	4.306779	4.307205	4.296151	4.236390	4.363775	4.414661	4.325546	4.308394	4.162001	4.161277	4.108465	4.106262	4.313978	4.311568	4.373044	4.319473	4.233819	4.122752	4.363247	4.314243	4.301131	4.297053	4.295364	4.097402	4.092600
15	1.593565	1.583156	1.570776	1.563922	1.466096	1.444942	1.430069	1.434969	1.690652	1.786720	1.727416	1.708013	1.527332	1.562350	1.622094	1.627099	1.637645	1.589128	1.662139	1.667969	1.574617	1.442856	1.408499	1.682654	1.715875
16	-0.156143	0.123174	0.398131	0.521822	0.333697	0.061538	-0.161259	-0.212099	0.300209	0.076196	-0.138623	-0.176782	-0.146825	-0.512541	-0.811551	-0.871387	-0.163174	-0.484827	-0.802056	-0.857422	0.329964	-0.284164	-0.228402	-0.243499	-0.201223
17	4.274491	4.260943	4.238821	4.193500	4.316345	4.371220	4.313365	4.280052	4.119977	4.127304	4.063735	4.059596	4.276208	4.307588	4.365950	4.293862	4.210465	4.079848	4.295990	4.214844	4.246380	4.282221	4.276999	4.045425	4.042181
18	1.570134	1.558709	1.542210	1.542736	1.436859	1.428002	1.400167	1.414757	1.662806	1.759086	1.703538	1.683176	1.507110	1.549880	1.601838	1.536399	1.608953	1.552802	1.615284	1.598633	1.546739	1.413235	1.384472	1.671289	1.686373
19	-0.146920	0.124114	0.390743	0.519425	0.322371	0.057199	-0.155881	-0.212163	0.293241	0.072680	-0.140055	-0.173448	-0.139380	-0.510157	-0.803196	-0.837807	-0.151901	-0.481921	-0.788459	-0.852539	0.324658	-0.280592	-0.221232	-0.237966	-0.200368
20	4.236955	4.222534	4.195603	4.159238	4.282489	4.342197	4.259596	4.249146	4.081660	4.084858	4.016794	4.009731	4.240249	4.294471	4.343880	4.252530	4.169568	4.015187	4.135600	4.066406	4.203839	4.228162	4.244584	3.998600	3.983100
21	1.570134	1.558709	1.542210	1.542736	1.436859	1.428002	1.400167	1.414757	1.662806	1.759086	1.703538	1.683176	1.507110	1.549880	1.601838	1.536399	1.608953	1.552802	1.615284	1.598633	1.546739	1.413235	1.384472	1.671289	1.686373
22	-0.146920	0.124114	0.390743	0.519425	0.322371	0.057199	-0.155881	-0.212163	0.293241	0.072680	-0.140055	-0.173448	-0.139380	-0.510157	-0.803196	-0.837807	-0.151901	-0.481921	-0.788459	-0.852539	0.324658	-0.280592	-0.221232	-0.237966	-0.200368
23	4.236955	4.222534	4.195603	4.159238	4.282489	4.342197	4.259596	4.249146	4.081660	4.084858	4.016794	4.009731	4.240249	4.294471	4.343880	4.252530	4.169568	4.015187	4.135600	4.066406	4.203839	4.228162	4.244584	3.998600	3.983100
24	1.556051	1.541287	1.523289	1.511939	1.418724	1.403736	1.386733	1.389881	1.650094	1.737604	1.687181	1.666681	1.492892	1.518505	1.592395	1.581969	1.596241	1.526318	1.555586	1.522573	1.528729	1.392198	1.370073	1.642495	1.672663
25	-0.147629	0.122841	0.389315	0.520729	0.318568	0.063026	-0.153900	-0.189077	0.290668	0.070214	-0.143198	-0.176097	-0.140072	-0.464426	-0.805514	-0.875340	-0.152887	-0.472103	-0.792552	-0.858172	0.323280	-0.252795	-0.247980	-0.248176	-0.189590
26	4.208519	4.191985	4.166064	4.111833	4.245506	4.307413	4.241469	4.225080	4.050123	4.049099	3.987380	3.977742	4.215214	4.247869	4.340486	4.301326	4.139368	3.962310	4.008513	3.907893	4.174906	4.201628	4.209250	3.959647	3.950667
27	1.526456	1.514095	1.497945	1.487180	1.398622	1.385623	1.364541	1.370152	1.621784	1.714533	1.659630	1.637713	1.463612	1.512210	1.558104	1.548618	1.566370	1.515828	1.492867	1.457093	1.502706	1.367273	1.339680	1.615763	1.643522
28	-0.149025	0.116030	0.377205	0.511378	0.312340	0.056743	-0.161049	-0.215261	0.287664	0.064800	-0.144519	-0.191296	-0.142522	-0.476206	-0.759288	-0.828808	-0.153290	-0.467478	-0.803019	-0.858862	0.312462	-0.271427	-0.219225	-0.264954	-0.200051
29	4.165430	4.142581	4.109213	4.071247	4.215379	4.273931	4.218304	4.187701	4.006064	4.015990	3.947528	3.935567	4.169673	4.243523	4.309522	4.266571	4.098594	3.946243	3.898971	3.790919	4.119556	4.174820	4.171546	3.916504	3.902000
30	1.513320	1.500998	1.484176	1.474477	1.374603	1.367468	1.342578	1.353461	1.602882	1.688503	1.647400	1.627889	1.450153	1.483103	1.557929	1.550506	1.553630	1.492937	1.456668	1.408606	1.489194	1.338890	1.323318	1.608909	1.635188
31	-0.155990	0.116564	0.384143	0.511183	0.308594	0.061560	-0.157658	-0.210653	0.284584	0.061314	-0.154139	-0.176316	-0.149035	-0.445227	-0.768745	-0.837962	-0.160602	-0.462041	-0.785420	-0.838945	0.317822	-0.278119	-0.210964	-0.251696	-0.187709
32	4.136092	4.119400	4.090033	4.041338	4.167260	4.238050	4.201167	4.165539	3.976591	3.967391	3.919248	3.906735	4.141627	4.196865	4.309753	4.272681	4.067985	3.895648	3.824739	3.721509	4.099553	4.133566	4.155875	3.892239	3.879500
33	1.489875	1.469988	1.446818	1.452773	1.361310	1.343892	1.318162	1.334334	1.589235	1.669468	1.631805	1.609543	1.425862	1.463532	1.541967	1.534547	1.531155	1.486902	1.429284	1.378637	1.453310	1.336953	1.308018	1.599211	1.625859
34	-0.166106	0.107158	0.376539	0.501862	0.303801	0.050359	-0.167038	-0.228501	0.277277	0.055520	-0.157036	-0.192622	-0.158642	-0.427028	-0.748124	-0.816647	-0.171036	-0.461298	-0.756477	-0.814089	0.309765	-0.291033	-0.244893	-0.271860	-0.171510
35	4.094674	4.075685	4.046739	4.000029	4.134091	4.194988	4.153035	4.123924	3.940270	3.937676	3.877963	3.874411	4.101062	4.153905	4.284576	4.247559	4.025750	3.877518	3.770080	3.673286	4.055983	4.104887	4.108800	3.863729	3.846250
36	1.489875	1.469988	1.446818	1.452773	1.361310	1.343892	1.318162	1.334334	1.589235	1.669468	1.631805	1.609543	1.425862	1.463532	1.541967	1.534547	1.531155	1.486902	1.429284	1.378637	1.453310	1.336953	1.308018	1.599211	1.625859
37	-0.166106	0.107158	0.376539	0.501862	0.303801	0.050359	-0.167038	-0.228501	0.277277	0.055520	-0.157036	-0.192622	-0.158642	-0.427028	-0.748124	-0.816647	-0.171036	-0.461298	-0.756477	-0.814089	0.309765	-0.291033	-0.244893	-0.271860	-0.171510
38	4.094674	4.075685	4.046739	4.000029	4.134091	4.194988	4.153035	4.123924	3.940270	3.937676	3.877963	3.874411	4.101062	4.153905	4.284576	4.247559	4.025750	3.877518	3.770080	3.673286	4.055983	4.104887	4.108800	3.863729	3.846250
39	1.473879	1.454755	1.431842	1.438439	1.338346	1.326058	1.303379	1.316725	1.566926	1.656441	1.620021	1.585228	1.408305	1.449581	1.534269	1.526803	1.516382	1.461592	1.403811	1.344118	1.438259	1.323954	1.286945	1.566062	1.591582
40	-0.172441	0.099614	0.367339	0.497436	0.296560	0.047437	-0.168531	-0.227748	0.264357	0.066804	-0.145651	-0.193308	-0.169827	-0.432057	-0.748328	-0.815410	-0.172880	-0.474943	-0.781645	-0.814542	0.300998	-0.297218	-0.233042	-0.268868	-0.197185
41	4.073472	4.050167	4.015216	3.973136	4.089117	4.165905	4.131323	4.099176	3.902214	3.893936	3.845718	3.837995	4.079495	4.141850	4.267520	4.230662	4.004435	3.833100	3.723151	3.634664	4.026038	4.087549	4.086444	3.821110	3.795572
42	1.448042	1.432138	1.412548	1.413285	1.319098	1.301767	1.282202	1.289634	1.549147	1.623934	1.588898	1.553896	1.383760	1.420702	1.510382	1.472977	1.489856	1.445406	1.402534	1.354573	1.418149	1.292359	1.258680	1.544149	1.551860
43	-0.174994	0.097156	0.365254	0.496827	0.296808	0.046984	-0.168291	-0.210791	0.260055	0.031741	-0.178967	-0.217968	-0.169816	-0.431203	-0.751853	-0.767403	-0.177457	-0.470903	-0.781563	-0.845093	0.298804	-0.286655	-0.197915	-0.297728	-0.292107
44	4.027709	4.002444	3.966608	3.929574	4.054278	4.116852	4.078286	4.067324	3.865200	3.848232	3.793012	3.793606	4.032400	4.076244	4.226455	4.102046	3.960501	3.813510	3.722818	3.631247	3.977570	4.052959	4.060250	3.792732	3.786500
45	1.423516	1.412179	1.396522	1.402634	1.304483	1.287897	1.266411	1.270288	1.527157	1.608952	1.575749	1.550719	1.359853	1.398610	1.496351	1.459522	1.464827	1.420584	1.397081	1.341151	1.401189	1.268283	1.238302	1.529746	1.564114
46	-0.176802	0.100617	0.373636	0.496098	0.294529	0.045098	-0.168857	-0.212411	0.256884	0.057663	-0.154870	-0.196415	-0.172098	-0.435629	-0.757977	-0.774761	-0.178718	-0.473046	-0.784609	-0.853909	0.305976	-0.282081	-0.194318	-0.273660	-0.204312
47	3.988590	3.964607	3.929306	3.905561	4.020479	4.089204	4.052069	4.029027	3.826768	3.805164	3.766075	3.761785	3.994274	4.019172	4.196992	4.070752	3.920259	3.770953	3.717423	3.635699	3.940207	4.014294	4.023667	3.744908	3.737000
48	1.423516	1.412179	1.396522	1.402634	1.304483	1.287897	1.266411	1.270288	1.527157	1.608952	1.575749	1.550719	1.359853	1.398610	1.496351	1.459522	1.464827	1.420584	1.397081	1.341151	1.401189	1.268283	1.238302	1.529746	1.564114
49	-0.176802	0.100617	0.373636	0.496098	0.294529	0.045098	-0.168857	-0.212411	0.256884	0.057663	-0.154870	-0.196415	-0.172098	-0.435629	-0.757977	-0.774761	-0.178718	-0.473046	-0.784609	-0.853909	0.305976	-0.282081	-0.194318	-0.273660	-0.204312
50	3.988590	3.964607	3.929306	3.905561	4.020479	4.089204	4.052069	4.029027	3.826768	3.805164	3.766075	3.761785	3.994274	4.019172	4.196992	4.070752	3.920259	3.770953	3.717423	3.635699	3.940207	4.014294	4.023667	3.744908	3.737000
51	1.407902	1.396948	1.382190	1.385926	1.284449	1.261629	1.247836	1.255686	1.518918	1.597221	1.562153	1.532187	1.344094	1.354325	1.449995	1.419285	1.449414	1.410930	1.386745	1.334146	1.386594	1.257423	1.230871	1.504403	1.550343
